Index,Reaction1,Reaction2,Catalyst1,Catalyst2,Product,Yield,ee
1,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,FC1=CC(F)=C(C2=CC=C(C(F)(F)F)C=[N+]2[Ir-3]345([N+]6=CC=C(C(C)(C)C)C=C6C7=[N+]5C=CC(C(C)(C)C)=C7)[N+]8=CC(C(F)(F)F)=CC=C8C9=C(F)C=C(F)C=C94)C3=C1.F[P-](F)(F)(F)(F)F,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.367142906234751,0.799270651661376
2,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.3559745401992177,0.822546072644144
3,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.4010588039242311,0.808106197635905
4,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,FC1=CC(F)=C(C2=[N+]3C=CC=C2)C([Ir-3]435(C6=CC(F)=CC(F)=C6C7=[N+]5C=CC=C7)C8=CC(F)=CC(F)=C8C9=[N+]4C=CC=C9)=C1,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.3340659656349989,0.811708957466525
5,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=[N+]1[Ru-6]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=[N+]94.[Cl-].[Cl-].O.O.O.O.O.O,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.20283098666143806,0.843148460575154
6,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=[N+]1[Ru-4]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=[N+]94,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.290160823399375,0.868838231464688
7,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C[N+]1=C2C=CC=CC2=C(C3=C(C)C=CC=C3C)C4=C1C=CC=C4.O=Cl(=O)([O-])=O,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.058371801276740756,0.862317937927569
8,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,[O-]C1=C(Br)C(O2)=C(C=C1Br)C(C3=C(C([O-])=O)C=CC=C3)C(C=C4Br)C2=C(Br)C4=O.[Na+].[Na+],N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.16966617590068883,0.830924172668225
9,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CC/[N+](CC)=C1C=CC2=C(C3=CC=CC=C3C(O)=O)C4=C(C=C(N(CC)CC)C=C4)OC2=C.[Cl-],N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.117810079358908,0.834921608850733
10,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CN(C1=CC2=[S+]C3=C(C=CC(N(C)C)=C3)N=C2C=C1)C.[Cl-],N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.053476026874062915,0.815063869686812
11,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CC(C=C1)=CC=C1C2=NC(C3=CC=C(C)C=C3)=NC(C4=CC=C(C)C=C4)=N2,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.09729772154823227,0.837447495971003
12,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,COC(C=C1)=CC=C1C2=NC(C3=CC=C(OC)C=C3)=NC(C4=CC=C(OC)C=C4)=N2,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.1711726753860508,0.848988323619295
13,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CC1=CC2=C(C=C1C)N=C(C(N2C[C@@H](OC(CCC)=O)[C@@H](OC(CCC)=O)[C@@H](OC(CCC)=O)COC(CCC)=O)=N3)C(NC3=O)=O,N[C@H]([C@@H](NS(C)(=O)=O)C1=CC=CC=C1)C2=CC=CC=C2,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.06690961237724569,0.850886369568819
14,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,FC1=CC(F)=C(C2=CC=C(C(F)(F)F)C=[N+]2[Ir-3]345([N+]6=CC=C(C(C)(C)C)C=C6C7=[N+]5C=CC(C(C)(C)C)=C7)[N+]8=CC(C(F)(F)F)=CC=C8C9=C(F)C=C(F)C=C94)C3=C1.F[P-](F)(F)(F)(F)F,NC(C=CC1=C2C=CC=C1)=C2C3=C(N)C=CC4=CC=CC=C43,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.1853084031131603,0.65850892620457
15,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,NC(C=CC1=C2C=CC=C1)=C2C3=C(N)C=CC4=CC=CC=C43,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.005133422460085194,0.693320811795073
16,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,NC(C=CC1=C2C=CC=C1)=C2C3=C(N)C=CC4=CC=CC=C43,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.21109083374425786,0.595565935471173
17,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,FC1=CC(F)=C(C2=[N+]3C=CC=C2)C([Ir-3]435(C6=CC(F)=CC(F)=C6C7=[N+]5C=CC=C7)C8=CC(F)=CC(F)=C8C9=[N+]4C=CC=C9)=C1,NC(C=CC1=C2C=CC=C1)=C2C3=C(N)C=CC4=CC=CC=C43,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.3306225043492863,0.681359724581907
18,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=[N+]1[Ru-6]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=[N+]94.[Cl-].[Cl-].O.O.O.O.O.O,NC(C=CC1=C2C=CC=C1)=C2C3=C(N)C=CC4=CC=CC=C43,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.24310715739639557,0.759626545090133
19,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=[N+]1[Ru-4]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=[N+]94,NC(C=CC1=C2C=CC=C1)=C2C3=C(N)C=CC4=CC=CC=C43,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.15037834828253654,0.758569270722008
20,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C[N+]1=C2C=CC=CC2=C(C3=C(C)C=CC=C3C)C4=C1C=CC=C4.O=Cl(=O)([O-])=O,NC(C=CC1=C2C=CC=C1)=C2C3=C(N)C=CC4=CC=CC=C43,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.04982072584088115,0.731949986117914
21,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,[O-]C1=C(Br)C(O2)=C(C=C1Br)C(C3=C(C([O-])=O)C=CC=C3)C(C=C4Br)C2=C(Br)C4=O.[Na+].[Na+],NC(C=CC1=C2C=CC=C1)=C2C3=C(N)C=CC4=CC=CC=C43,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.11332212266111001,0.743332885151668
22,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CC/[N+](CC)=C1C=CC2=C(C3=CC=CC=C3C(O)=O)C4=C(C=C(N(CC)CC)C=C4)OC2=C.[Cl-],NC(C=CC1=C2C=CC=C1)=C2C3=C(N)C=CC4=CC=CC=C43,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.06820140452514531,0.759622324153082
23,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CN(C1=CC2=[S+]C3=C(C=CC(N(C)C)=C3)N=C2C=C1)C.[Cl-],NC(C=CC1=C2C=CC=C1)=C2C3=C(N)C=CC4=CC=CC=C43,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.03904668113558607,0.705766897219328
24,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CC(C=C1)=CC=C1C2=NC(C3=CC=C(C)C=C3)=NC(C4=CC=C(C)C=C4)=N2,NC(C=CC1=C2C=CC=C1)=C2C3=C(N)C=CC4=CC=CC=C43,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.08644351939077426,0.749647572038623
25,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,COC(C=C1)=CC=C1C2=NC(C3=CC=C(OC)C=C3)=NC(C4=CC=C(OC)C=C4)=N2,NC(C=CC1=C2C=CC=C1)=C2C3=C(N)C=CC4=CC=CC=C43,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.11433544515347549,0.766801189112489
26,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CC1=CC2=C(C=C1C)N=C(C(N2C[C@@H](OC(CCC)=O)[C@@H](OC(CCC)=O)[C@@H](OC(CCC)=O)COC(CCC)=O)=N3)C(NC3=O)=O,NC(C=CC1=C2C=CC=C1)=C2C3=C(N)C=CC4=CC=CC=C43,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.05275053699562094,0.733157109793892
27,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,FC1=CC(F)=C(C2=CC=C(C(F)(F)F)C=[N+]2[Ir-3]345([N+]6=CC=C(C(C)(C)C)C=C6C7=[N+]5C=CC(C(C)(C)C)=C7)[N+]8=CC(C(F)(F)F)=CC=C8C9=C(F)C=C(F)C=C94)C3=C1.F[P-](F)(F)(F)(F)F,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.004336796955485245,0.659395076763361
28,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435(C6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.06710684230782361,0.675304406650623
29,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=C1[Ir-3]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=C94,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.0823365002049435,0.767958631604129
30,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,FC1=CC(F)=C(C2=[N+]3C=CC=C2)C([Ir-3]435(C6=CC(F)=CC(F)=C6C7=[N+]5C=CC=C7)C8=CC(F)=CC(F)=C8C9=[N+]4C=CC=C9)=C1,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.2702098136462183,0.817542605249345
31,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C1(C2=CC=CC=[N+]23)=CC=CC=[N+]1[Ru-6]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=[N+]94.[Cl-].[Cl-].O.O.O.O.O.O,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.11412902196488217,0.876214500086089
32,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.C1(C2=CC=CC=[N+]23)=CC=CC=[N+]1[Ru-4]435([N+]6=CC=CC=C6C7=CC=CC=[N+]75)[N+]8=CC=CC=C8C9=CC=CC=[N+]94,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.12097016699460543,0.873929738628752
33,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,C[N+]1=C2C=CC=CC2=C(C3=C(C)C=CC=C3C)C4=C1C=CC=C4.O=Cl(=O)([O-])=O,N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.034917351545485115,0.85640054341406
34,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,[O-]C1=C(Br)C(O2)=C(C=C1Br)C(C3=C(C([O-])=O)C=CC=C3)C(C=C4Br)C2=C(Br)C4=O.[Na+].[Na+],N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.06608218452313021,0.866585384465093
35,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CC/[N+](CC)=C1C=CC2=C(C3=CC=CC=C3C(O)=O)C4=C(C=C(N(CC)CC)C=C4)OC2=C.[Cl-],N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.07763051489093507,0.849940051156436
36,[H]C(CCCCC#C)=O,[H]C1=CC=C(C(CBr)=O)C=C1,CN(C1=CC2=[S+]C3=C(C=CC(N(C)C)=C3)N=C2C=C1)C.[Cl-],N[C@H]([C@@H](NS(=O)(C1=CC=C(C)C=C1)=O)C2=CC=CC=C2)C3=CC=CC=C3,[H]C([C@H](CCCC#C)CC(C1=CC=C([H])C=C1)=O)=O,0.014630444144927132,0.789824062553853
