step,n_experiments,yield_best,cost_best,hypervolume,hypervolume completed (%),round_id,seed
0,1,7.25,0.369038526,4.5744706865,0.01579078735558256,1,1
0,2,31.85,0.06723354,34.2830824375,0.11834306125561168,1,1
0,3,31.85,0.06723354,34.2830824375,0.11834306125561168,1,1
0,4,98.49,0.05230281,127.62177868059999,0.4405424162043265,1,1
0,5,98.49,0.05230281,130.48797180314997,0.450436336008379,1,1
1,10,98.49,0.05230281,210.89682897918,0.7280026933400031,1,1
2,15,98.49,0.05230281,237.24196220341,0.8189444492520089,1,1
3,20,98.49,0.05230281,383.64598895443004,1.3243220137534004,1,1
4,25,98.49,0.05230281,383.64598895443004,1.3243220137534004,1,1
5,30,98.49,0.05230281,528.9997792586701,1.8260742275769248,1,1
6,35,98.49,0.05230281,590.24611841433,2.0374927684737036,1,1
7,40,98.49,0.05230281,591.43766533656,2.0416059140948266,1,1
8,45,98.49,0.05230281,607.87550312906,2.0983483044074256,1,1
9,50,98.49,0.05230281,804.61123741732,2.7774677825491088,1,1
10,55,98.49,0.05230281,804.61123741732,2.7774677825491088,1,1
11,60,98.49,0.05230281,815.52632781182,2.8151459934719956,1,1
0,1,23.51,0.442372588,13.109820456120001,0.04525428214096772,2,2
0,2,42.04,0.136732274,49.40159565716,0.17053122547070987,2,2
0,3,42.04,0.136732274,49.40159565716,0.17053122547070987,2,2
0,4,42.04,0.136732274,49.40159565716,0.17053122547070987,2,2
0,5,53.81,0.239872808,90.30403985868,0.3117239104770614,2,2
1,10,64.62,0.046569203,272.67833338965005,0.9412685913012271,2,2
2,15,64.62,0.046569203,272.67833338965005,0.9412685913012271,2,2
3,20,64.62,0.046569203,370.15416562852,1.2777490815435015,2,2
4,25,64.62,0.046569203,405.07145255191006,1.3982813771090414,2,2
5,30,64.62,0.046569203,425.3509599058001,1.4682849710212942,2,2
6,35,64.62,0.046569203,436.7001022076,1.5074615020426543,2,2
7,40,64.62,0.046569203,468.61383001842006,1.6176256989784477,2,2
8,45,79.76,0.128801467,717.8809146901,2.4780801206042384,2,2
9,50,79.76,0.128801467,719.07246161233,2.4821932662253614,2,2
10,55,79.76,0.128801467,719.07246161233,2.4821932662253614,2,2
11,60,79.76,0.128801467,738.26654322846,2.5484500382231516,2,2
0,1,7.84,0.344731253,5.137306976480001,0.017733663106717663,3,3
0,2,32.36,0.0718855,35.17109219648,0.12140841553039533,3,3
0,3,32.36,0.0718855,40.06454009762,0.1383002923262318,3,3
0,4,32.36,0.0718855,40.06454009762,0.1383002923262318,3,3
0,5,49.19,0.078369068,85.3995656427,0.2947939715304567,3,3
1,10,58.95,0.152444261,315.52529094982003,1.089173615080925,3,3
2,15,58.95,0.152444261,315.52529094982003,1.089173615080925,3,3
3,20,85.24,0.092185628,601.1978965558,2.0752976232097575,3,3
4,25,85.24,0.092185628,601.1978965558,2.0752976232097575,3,3
5,30,85.24,0.092185628,648.529979597,2.2386850202710384,3,3
6,35,85.24,0.092185628,798.9973147811199,2.7580888719266095,3,3
7,40,85.24,0.092185628,834.7498791353701,2.8815044930608433,3,3
8,45,85.24,0.092185628,834.7498791353701,2.8815044930608433,3,3
9,50,85.24,0.092185628,834.7498791353701,2.8815044930608433,3,3
10,55,85.24,0.092185628,1028.47184930168,3.5502206455172094,3,3
11,60,85.24,0.092185628,1039.28193753034,3.5875363955159174,3,3
0,1,0.0,0.03855042,0.0,0.0,4,4
0,2,8.23,0.027374191,8.00471040807,0.027631760822051096,4,4
0,3,8.23,0.027374191,8.00471040807,0.027631760822051096,4,4
0,4,8.23,0.027374191,13.139369663420002,0.04535628416064999,4,4
0,5,8.23,0.027374191,13.139369663420002,0.04535628416064999,4,4
1,10,8.23,0.027374191,25.89313551816,0.08938148803602496,4,4
2,15,61.94,0.175288313,208.52529065328,0.7198162910267436,4,4
3,20,84.17,0.09845814,557.73480467763,1.9252657422120807,4,4
4,25,84.17,0.09845814,557.73480467763,1.9252657422120807,4,4
5,30,84.17,0.09845814,659.08944710946,2.2751356431965544,4,4
6,35,84.17,0.09845814,697.7455211148201,2.4085739984628196,4,4
7,40,84.17,0.09845814,746.2776127034699,2.5761037501474635,4,4
8,45,84.17,0.09845814,757.14885756582,2.6136306090293995,4,4
9,50,84.17,0.09845814,757.14885756582,2.6136306090293995,4,4
10,55,84.17,0.09845814,976.6419900236599,3.3713072055547855,4,4
11,60,84.17,0.09845814,976.6419900236599,3.3713072055547855,4,4
0,1,0.0,0.096027576,0.0,0.0,5,5
0,2,0.0,0.096027576,0.0,0.0,5,5
0,3,3.43,0.123861698,3.00515437586,0.010373605379076395,5,5
0,4,3.43,0.123861698,3.00515437586,0.010373605379076395,5,5
0,5,61.0,0.043698305,61.33955777086,0.21174032573946017,5,5
1,10,61.0,0.043698305,71.22818644853,0.2458752548686869,5,5
2,15,61.0,0.043698305,71.22818644853,0.2458752548686869,5,5
3,20,61.0,0.043698305,171.37108526437,0.5915622925054839,5,5
4,25,61.0,0.043698305,173.03192381556997,0.5972954035452702,5,5
5,30,99.98,0.111358006,541.25826915045,1.8683897697341663,5,5
6,35,99.98,0.111358006,684.71276080125,2.3635857231252597,5,5
7,40,99.98,0.111358006,695.5840056636,2.4011125820071952,5,5
8,45,99.98,0.111358006,812.0094884654001,2.803006083504499,5,5
9,50,99.98,0.111358006,878.43032899706,3.032286680254149,5,5
10,55,99.98,0.111358006,1094.2756266649799,3.777371178715399,5,5
11,60,99.98,0.111358006,1101.67994516739,3.8029304241445185,5,5
0,1,0.0,0.317607693,0.0,0.0,6,6
0,2,4.53,0.121718318,3.9786160194600004,0.01373393422723536,6,6
0,3,4.53,0.121718318,3.9786160194600004,0.01373393422723536,6,6
0,4,19.55,0.036475757,22.81551497011,0.07875773395255259,6,6
0,5,19.55,0.036475757,25.49408413251,0.0880039875541996,6,6
1,10,19.55,0.036475757,59.80932851018999,0.2064580698203566,6,6
2,15,55.41,0.250381171,235.56459507921,0.8131542826096356,6,6
3,20,76.24,0.038112992,515.2695668385201,1.7786783910895665,6,6
4,25,76.24,0.038112992,591.83397485567,2.042973949824453,6,6
5,30,76.24,0.038112992,593.0255217779,2.0470870954455758,6,6
6,35,76.24,0.038112992,593.0255217779,2.0470870954455758,6,6
7,40,76.24,0.038112992,635.62544490947,2.1941393717930864,6,6
8,45,76.24,0.038112992,685.2102993733101,2.365303195228816,6,6
9,50,79.76,0.128801467,943.6397213560401,3.257385433507993,6,6
10,55,79.76,0.128801467,943.6397213560401,3.257385433507993,6,6
11,60,79.76,0.128801467,943.63972135604,3.2573854335079924,6,6
0,1,10.05,0.275221281,7.2840261259500005,0.02514400365201341,7,7
0,2,10.05,0.275221281,8.177086733100001,0.028226793139498982,7,7
0,3,10.05,0.275221281,8.177086733100001,0.028226793139498982,7,7
0,4,10.05,0.275221281,8.177086733100001,0.028226793139498982,7,7
0,5,20.22,0.086492826,26.64820179138,0.09198792969384914,7,7
1,10,20.22,0.086492826,35.029976200600004,0.12092129191847922,7,7
2,15,35.91,0.203178757,141.94549942158,0.48998700637933074,7,7
3,20,73.33,0.041284084,395.34600360299004,1.3647097342207861,7,7
4,25,73.33,0.041284084,395.34600360299,1.364709734220786,7,7
5,30,73.33,0.041284084,608.86930685043,2.101778852838669,7,7
6,35,73.33,0.041284084,697.1274343976,2.406440401684566,7,7
7,40,91.27,0.03558821,1069.74497368148,3.6926928953679528,7,7
8,45,91.27,0.03558821,1069.74497368148,3.6926928953679528,7,7
9,50,91.27,0.03558821,1178.1683051535101,4.066963469821807,7,7
10,55,91.27,0.03558821,1391.0416278940702,4.801788896289753,7,7
11,60,91.27,0.03558821,1391.04162789407,4.801788896289752,7,7
0,1,87.0,0.053363987,82.357333131,0.2842923747401951,8,8
0,2,87.0,0.053363987,122.31417269326,0.4222208915390481,8,8
0,3,87.0,0.053363987,127.41289431394,0.4398213604053315,8,8
0,4,87.0,0.053363987,146.81745179758,0.5068046819637387,8,8
0,5,87.0,0.053363987,156.31880012058,0.5396027434755521,8,8
1,10,87.0,0.053363987,162.63382980152997,0.5614018318663382,8,8
2,15,87.0,0.053363987,162.63382980152997,0.5614018318663382,8,8
3,20,87.0,0.053363987,257.77249969563,0.8898145835370987,8,8
4,25,87.0,0.053363987,257.77249969563,0.8898145835370987,8,8
5,30,87.0,0.053363987,419.11867051481005,1.4467714969483247,8,8
6,35,87.0,0.053363987,427.55865593051,1.4759057999348644,8,8
7,40,87.0,0.053363987,542.50962224093,1.8727093625160882,8,8
8,45,87.0,0.053363987,581.46500375145,2.0071809086129035,8,8
9,50,87.0,0.053363987,663.6947342359899,2.291032806980126,8,8
10,55,87.0,0.053363987,663.6947342359899,2.291032806980126,8,8
11,60,87.0,0.053363987,663.69473423599,2.291032806980126,8,8
0,1,26.29,0.037573562,25.30219105502,0.08734158462513605,9,9
0,2,26.29,0.037573562,25.30219105502,0.08734158462513605,9,9
0,3,26.29,0.037573562,25.30219105502,0.08734158462513605,9,9
0,4,26.29,0.037573562,30.01741453601,0.1036182418441008,9,9
0,5,43.22,0.075501167,69.97425409827,0.24154675864295388,9,9
1,10,43.22,0.075501167,75.46813436262,0.26051129048866095,9,9
2,15,43.22,0.075501167,75.49545305508,0.26060559291030316,9,9
3,20,76.68,0.075080437,359.70352778477,1.2416741318432287,9,9
4,25,76.68,0.075080437,359.70352778477,1.2416741318432287,9,9
5,30,76.68,0.075080437,483.97802805847994,1.6706619518624444,9,9
6,35,76.68,0.075080437,490.91643809403996,1.694612910337423,9,9
7,40,76.68,0.075080437,643.99474630086,2.223029677938503,9,9
8,45,76.68,0.075080437,712.65412467824,2.4600375676432717,9,9
9,50,76.68,0.075080437,835.53931241687,2.884229567486694,9,9
10,55,76.68,0.075080437,835.53931241687,2.884229567486694,9,9
11,60,76.68,0.075080437,837.2001509680699,2.8899626785264805,9,9
0,1,9.6,0.127327332,8.3776576128,0.028919151300282844,10,10
0,2,9.6,0.127327332,8.3776576128,0.028919151300282844,10,10
0,3,9.88,0.051628763,17.747565434360002,0.061263488403220746,10,10
0,4,56.14,0.051648175,70.98803688986,0.24504627357787084,10,10
0,5,56.14,0.051648175,70.98803688986,0.24504627357787084,10,10
1,10,56.14,0.051648175,79.88655556455002,0.2757634047612429,10,10
2,15,56.14,0.051648175,169.52759799599,0.5851986894915612,10,10
3,20,56.14,0.051648175,169.52759799599002,0.5851986894915612,10,10
4,25,56.14,0.051648175,269.7587077937,0.9311902259332684,10,10
5,30,56.14,0.051648175,269.7587077937,0.9311902259332684,10,10
6,35,75.46,0.185396976,496.39229344618,1.7135152213109646,10,10
7,40,75.46,0.185396976,521.60935779939,1.800562953873493,10,10
8,45,75.46,0.185396976,622.97296607411,2.1504638043881403,10,10
9,50,75.46,0.185396976,622.97296607411,2.1504638043881403,10,10
10,55,75.46,0.185396976,627.9257613533299,2.1675605446297386,10,10
11,60,82.21,0.0836470159999999,779.5515145777699,2.6909631830733742,10,10
